,id,form,total_points,points_per_game,event_points,goals_scored,assists,clean_sheets,bonus,bps,influence,creativity,threat,ict_index
167,460,0.0,43,4.3,0,4,1,4,7,148,177.4,96.2,275.0,55.0
168,67,4.6,43,2.7,6,0,0,4,6,228,255.8,200.2,32.0,48.8
169,184,1.8,43,2.7,7,2,3,1,5,122,188.6,215.7,412.0,80.2
170,569,2.6,43,3.1,2,4,2,3,4,150,200.8,75.8,282.0,55.1
171,246,0.4,42,4.2,0,1,2,3,5,194,179.0,42.4,84.0,30.6
172,140,2.6,42,2.5,5,1,3,3,2,126,143.6,111.1,211.0,46.5
173,155,2.7,42,3.8,1,0,6,1,8,224,267.4,305.8,69.0,64.4
174,9,3.4,42,2.5,3,1,1,7,1,220,240.0,108.0,102.0,45.0
175,98,1.6,41,2.3,0,0,0,7,0,203,222.0,156.5,194.0,57.4
176,95,2.2,41,2.7,2,1,1,7,3,147,161.8,129.3,163.0,45.5
177,441,0.0,41,2.6,0,3,0,3,4,113,169.6,131.6,361.0,66.2
178,422,0.6,41,2.0,1,1,2,2,2,227,289.4,165.6,167.0,62.3
179,253,1.0,40,2.4,0,0,1,6,2,264,309.2,60.6,16.0,38.9
180,114,1.4,40,3.6,0,1,3,5,6,138,155.2,278.4,177.0,61.2
181,443,0.0,40,3.3,0,1,0,4,0,185,240.4,7.7,75.0,32.4
182,597,5.0,40,4.0,8,0,0,4,4,193,226.6,0.0,0.0,22.7
183,132,2.2,39,2.8,0,3,2,1,3,103,163.6,122.1,375.0,65.9
184,419,1.6,39,1.9,1,2,1,1,2,247,398.8,45.1,111.0,55.4
185,464,1.6,39,2.4,2,0,2,6,0,137,163.0,219.2,277.0,65.8
186,76,1.2,39,2.1,3,1,0,5,2,235,267.8,147.5,110.0,52.3
187,281,3.5,39,2.8,3,1,1,7,1,185,176.8,206.5,251.0,63.6
188,204,1.2,39,2.4,2,0,2,5,2,240,328.8,301.4,52.0,68.4
189,544,0.8,39,2.6,2,2,0,2,3,183,249.6,135.4,165.0,55.0
190,113,0.2,38,2.2,0,0,1,6,0,245,274.6,220.8,31.0,52.9
191,122,4.0,38,3.2,7,2,2,3,2,161,183.0,254.5,204.0,64.2
192,119,2.2,38,2.7,4,1,2,4,0,122,156.4,184.1,375.0,71.4
193,340,0.7,38,2.4,0,1,2,2,2,132,169.8,125.3,230.0,52.6
194,346,3.4,37,2.5,2,0,3,1,1,174,174.8,290.0,82.0,54.7
195,115,1.8,37,2.5,2,1,0,6,0,105,120.6,122.8,264.0,50.9
196,513,2.3,37,2.1,11,0,1,3,3,204,203.8,180.3,25.0,40.7
197,395,2.2,37,2.5,2,0,2,2,1,183,178.8,126.0,58.0,36.2
198,205,0.2,37,3.1,1,2,2,2,2,100,154.6,112.7,192.0,45.8
199,571,2.2,37,2.6,1,0,0,4,2,216,239.2,20.2,13.0,27.4
200,442,0.0,37,3.7,0,0,1,4,4,179,142.6,172.1,60.0,37.5
201,576,6.0,36,6.0,7,2,0,3,2,126,143.4,13.2,87.0,24.4
202,165,1.0,36,4.0,0,1,0,3,4,169,193.4,67.4,61.0,32.2
203,221,3.2,36,2.4,1,0,3,4,0,149,192.2,223.6,186.0,60.0
204,588,0.0,36,4.0,0,2,2,2,6,114,111.8,94.8,256.0,46.3
205,400,3.4,36,2.6,2,0,3,5,0,70,83.0,144.9,105.0,32.8
206,225,0.0,35,2.7,0,1,2,3,1,119,118.4,126.4,114.0,35.7
207,367,3.0,35,3.5,2,0,0,4,6,193,208.8,51.1,47.0,30.9
208,77,0.0,35,3.2,0,1,3,2,2,156,147.8,162.9,156.0,46.7
209,87,2.0,35,2.3,0,2,0,5,4,70,111.4,183.4,348.0,63.9
210,283,5.7,35,5.0,6,0,0,5,2,145,81.8,62.8,40.0,18.5
211,385,1.0,34,2.1,2,0,0,5,2,166,143.4,73.0,49.0,26.7
212,373,2.4,34,2.1,4,0,2,3,0,191,216.2,174.8,30.0,42.2
213,465,2.2,34,1.7,1,0,1,2,0,149,186.8,367.6,189.0,74.3
214,323,0.5,34,2.1,0,0,0,3,4,252,332.2,55.1,14.0,40.0
215,582,0.8,33,2.4,2,1,0,3,3,83,88.8,60.1,255.0,40.1
216,518,0.6,33,2.1,2,0,1,4,0,191,128.8,90.3,16.0,23.7
217,501,1.0,33,2.1,0,0,1,4,3,207,230.6,259.6,51.0,54.3
218,446,0.2,33,2.2,0,1,0,1,0,95,152.4,88.5,151.0,39.2
219,195,1.5,33,2.4,2,1,0,3,1,278,375.4,9.9,142.0,52.7
220,146,3.0,32,2.9,0,0,1,3,2,155,184.4,48.8,21.0,25.5
221,484,0.2,32,2.1,1,0,0,3,1,232,283.2,307.2,124.0,71.7
222,491,0.0,32,2.9,0,0,0,4,2,180,176.0,48.9,89.0,31.4
223,18,2.0,32,2.3,3,3,0,1,1,105,137.4,92.2,219.0,44.7
224,563,1.8,32,2.9,0,1,1,1,5,136,136.6,99.2,102.0,33.8
225,236,3.4,32,2.9,0,1,0,5,4,171,217.6,41.4,17.0,27.6
226,23,4.6,32,4.6,3,0,4,6,0,116,110.8,155.4,85.0,35.2
227,345,1.4,32,1.5,2,0,0,0,2,258,327.2,136.4,100.0,56.4
228,107,2.2,32,2.0,3,0,1,5,0,180,184.4,206.9,77.0,46.8
229,338,0.5,31,2.8,1,1,1,3,2,92,129.0,111.6,89.0,33.0
230,78,1.2,31,2.6,1,2,1,1,2,78,98.8,60.7,235.0,39.3
231,454,1.8,31,1.6,2,0,0,2,0,199,209.0,325.9,38.0,57.6
232,103,0.8,31,2.8,0,3,0,2,3,100,123.6,98.6,311.0,53.4
233,144,0.8,31,1.8,1,1,0,2,1,117,136.6,79.6,43.0,26.0
234,299,1.6,31,2.1,3,0,0,6,0,189,218.4,174.2,85.0,47.8
235,412,2.6,31,2.4,6,2,1,1,0,174,320.0,14.8,118.0,45.2
236,566,1.3,31,2.6,0,0,0,3,1,181,194.6,38.6,19.0,25.3
237,413,1.6,31,1.7,0,0,0,1,0,185,149.8,101.1,13.0,26.3
238,382,0.5,31,2.2,1,1,2,3,0,88,103.4,72.3,131.0,30.4
239,109,4.4,30,5.0,6,0,0,4,3,140,113.8,25.8,64.0,20.4
240,509,2.8,30,2.0,2,0,0,1,3,193,261.0,133.6,31.0,42.7
241,497,0.8,30,2.3,0,1,1,1,2,105,144.0,111.2,108.0,36.3
242,229,1.2,30,2.3,2,1,0,2,2,76,141.8,229.5,294.0,66.8
243,457,0.8,30,3.3,0,0,1,3,3,127,135.6,98.6,53.0,28.9
244,315,1.4,30,2.0,1,1,0,2,0,90,70.2,96.6,247.0,41.2
245,504,2.2,30,2.0,1,2,0,0,2,82,80.8,89.5,323.0,49.1
246,134,3.0,30,2.5,1,0,1,3,2,158,176.6,75.2,15.0,26.7
247,486,1.2,29,3.2,6,1,0,2,1,152,170.2,14.3,89.0,27.5
248,357,0.2,29,2.1,1,1,1,0,2,64,135.2,130.1,342.0,60.3
249,360,0.0,29,2.2,0,1,1,0,1,148,175.8,168.9,126.0,47.0
250,108,1.8,29,2.2,2,1,2,2,1,73,87.2,96.8,176.0,35.8
251,424,2.2,28,2.0,2,1,1,1,0,72,89.4,154.7,300.0,53.9
